FID;CODIGO REGION;REGION;CODIGO PROVINCIA;PROVINCIA;CODIGO COMUNA;NOMBRE COMUNA;DISTRITO;AREA;Shape__Area;Shape__Length;CODIGO LOCALIDAD;LOCALIDAD;CODIGO ENTIDAD;ENTIDAD;CODIGO CATEGORIA;CATEGORIA;Número total de personas;Total de Hombres;Total de Mujeres;Total de personas de 0 a 5 años;Total de personas de 6 a 14 años;Total de personas de 15 a 64 años;Total de personas de 65 y más años;Total personas migrantes que residen habitualmente en el territorio nacional;Total personas que se consideran pertenecientes a algún pueblo indígena u originario;Total de viviendas particulares;Total viviendas colectivas;Total viviendas ocupadas con moradores presentes;Total viviendas;Cantidad de hogares;Cantidad de viviendas tipo casa;Cantidad de viviendas tipo departamento en edificio;Cantidad de viviendas tipo vivienda tradicional indígena (ruka, pae pae u otras);Cantidad de viviendas tipo pieza en casa antigua o en conventillo;Cantidad de viviendas tipo mediagua, mejora, rancho o choza;Cantidad de viviendas tipo móvil (carpa, casa rodante o similar);Cantidad de viviendas tipo otro tipo de vivienda particular;Cantidad de viviendas con materialidad en paredes de Hormigón armado;Cantidad de viviendas con materialidad en paredes de albañilería: bloque de cemento, piedra o ladrillo;Cantidad de viviendas con materialidad en paredes de tabique forrado por ambas caras (madera o acero);Cantidad de viviendas con materialidad en paredes de tabique sin forro interior (madera u otro);Cantidad de viviendas con materialidad en paredes de adobe, barro, quincha, pirca u otro artesanal tradicional;Cantidad de viviendas con materialidad en paredes de materiales precarios (lata, cartón, plástico, etc.);Cantidad de viviendas con materialidad de techo tejas o tejuelas de arcilla, metálicas, de cemento, de madera, asfálticas o plásticas;Cantidad de viviendas con materialidad de techo losa hormigón;Cantidad de viviendas con materialidad de techo planchas metálicas de zinc, cobre, etc. O fibrocemento (tipo pizarreño);Cantidad de viviendas con materialidad de techo fonolita o plancha de fieltro embreado;Cantidad de viviendas con materialidad de techo paja, coirón, totora o caña;Cantidad de viviendas con materialidad de techo materiales precarios (lata, cartón, plástico, etc.);Cantidad de viviendas con materialidad de techo sin cubierta sólida de techo;Cantidad de viviendas con materialidad de piso parquet, piso flotante, cerámico, madera, alfombra, flexit, cubrepiso u otro similar, sobre radier o vigas de madera;Viviendas con materialidad de piso radier sin revestimiento;Viviendas con materialidad de piso baldosa de cemento;Viviendas con materialidad de piso capa de cemento sobre tierra;Viviendas con materialidad de piso tierra;Total viviendas con materialidad aceptable;Total viviendas con materialidad recuperable;Total viviendas con materialidad irrecuperable;Cantidad de viviendas con origen del agua por red pública;Cantidad de viviendas con origen del agua por pozo o noria;Cantidad de viviendas con origen del agua por camión aljibe;Cantidad de viviendas con origen del agua por río, vertiente, estero, canal, lago, etc.;x;y
26062;8;REGIÓN DEL BIOBÍO;82;ARAUCO;8203;CAÑETE;12;2;7985950.8203125;20613.0741908432;28;LLEU LLEU;88;LLEU LLEU;8;Parcela-Hijuela;161;89;72;6;29;101;25;0;98;58;0;51;58;51;57;0;0;0;1;0;0;0;0;35;15;0;1;1;0;50;0;0;0;0;47;0;4;0;0;32;18;1;3;1;2;45;;
26063;8;REGIÓN DEL BIOBÍO;82;ARAUCO;8203;CAÑETE;2;2;5065461.2890625;14135.6957658572;15;EL REPOSO;33;ANTONIO MELITA;10;Comunidad Indígena;158;78;80;15;20;109;14;0;131;61;0;51;61;54;61;0;0;0;0;0;0;0;1;42;8;0;0;1;0;50;0;0;0;0;48;0;1;0;2;41;8;2;40;9;1;1;;
26064;8;REGIÓN DEL BIOBÍO;82;ARAUCO;8203;CAÑETE;2;2;4641994.328125;13984.1405068205;15;EL REPOSO;34;CACIQUE LLANCAO;10;Comunidad Indígena;124;57;67;15;13;89;7;0;112;40;0;37;40;37;40;0;0;0;0;0;0;0;0;26;9;0;2;0;0;37;0;0;0;0;36;0;1;0;0;26;9;2;28;7;0;1;;
26065;8;REGIÓN DEL BIOBÍO;82;ARAUCO;8203;CAÑETE;3;2;471498.546875;3317.61444142606;38;QUELENQUELÉN;143;QUELENQUELÉN;8;Parcela-Hijuela;16;7;9;Indeterminado;4;9;Indeterminado;0;0;8;0;6;8;6;7;0;0;0;1;0;0;0;0;5;1;0;0;1;0;5;0;0;0;0;6;0;0;0;0;5;1;0;4;0;0;2;;
26066;8;REGIÓN DEL BIOBÍO;82;ARAUCO;8203;CAÑETE;3;2;958823.734375;5131.03701637759;6;CAILLÍN;12;CAILLÍN;8;Parcela-Hijuela;44;22;22;Indeterminado;4;28;Indeterminado;Indeterminado;Indeterminado;28;0;17;28;17;25;0;0;1;2;0;0;0;0;14;3;0;0;1;0;16;0;0;0;0;16;0;0;0;0;13;3;0;6;7;0;3;;
26067;8;REGIÓN DEL BIOBÍO;82;ARAUCO;8203;CAÑETE;3;2;20026442.6171875;23334.3271131489;6;CAILLÍN;13;CAILLÍN ALTO;8;Parcela-Hijuela;12;6;6;0;0;8;4;0;0;7;0;5;7;5;7;0;0;0;0;0;0;0;0;4;1;0;0;1;0;4;0;0;0;0;5;0;0;0;0;4;1;0;0;2;0;3;;
26068;8;REGIÓN DEL BIOBÍO;82;ARAUCO;8203;CAÑETE;5;2;19486972.109375;25596.2675668015;5;BUTAMALAL BAJO;9;BUTAMALAL BAJO;8;Parcela-Hijuela;8;Indeterminado;Indeterminado;0;0;Indeterminado;Indeterminado;0;0;8;0;5;8;5;8;0;0;0;0;0;0;0;0;5;0;0;0;0;0;5;0;0;0;0;5;0;0;0;0;5;0;0;1;0;0;4;;
26069;8;REGIÓN DEL BIOBÍO;82;ARAUCO;8203;CAÑETE;6;2;5004702.8828125;17003.5817447577;45;TRES SAUCES;178;TRES SAUCES;8;Parcela-Hijuela;202;107;95;20;29;130;23;0;75;69;0;62;69;63;68;0;1;0;0;0;0;1;1;51;8;0;1;4;0;58;0;0;0;0;60;0;0;2;0;52;9;1;22;4;0;36;;
26070;8;REGIÓN DEL BIOBÍO;82;ARAUCO;8203;CAÑETE;7;2;1942168.09375;7443.45656923025;42;SANTA ÁNGELA;166;SANTA ÁNGELA SUR;8;Parcela-Hijuela;12;6;6;0;0;Indeterminado;Indeterminado;0;Indeterminado;6;0;6;6;6;5;0;0;0;1;0;0;0;0;4;2;0;0;0;0;6;0;0;0;0;3;0;0;3;0;3;3;0;0;0;0;6;;
26071;8;REGIÓN DEL BIOBÍO;82;ARAUCO;8203;CAÑETE;7;2;1410985.6015625;6294.25489281358;42;SANTA ÁNGELA;164;SANTA ÁNGELA;8;Parcela-Hijuela;33;19;14;Indeterminado;Indeterminado;22;5;Indeterminado;30;13;0;12;13;12;13;0;0;0;0;0;0;0;0;8;4;0;0;0;0;12;0;0;0;0;12;0;0;0;0;8;4;0;1;0;0;11;;
26072;8;REGIÓN DEL BIOBÍO;82;ARAUCO;8203;CAÑETE;8;2;16401068.7226563;27931.0499546014;26;LENCÁN-BOLDO;80;LENCÁN-BOLDO;8;Parcela-Hijuela;126;64;62;Indeterminado;9;84;Indeterminado;0;81;54;0;38;54;38;54;0;0;0;0;0;0;1;0;35;1;0;0;3;0;34;0;0;0;0;35;1;1;0;0;34;3;0;0;26;6;6;;
26073;8;REGIÓN DEL BIOBÍO;82;ARAUCO;8203;CAÑETE;8;2;5037272.94140625;15890.2603054787;901;INDETERMINADA;901;INDETERMINADA;15;Indeterminada;40;19;21;Indeterminado;Indeterminado;23;8;0;15;16;0;14;16;14;16;0;0;0;0;0;0;0;0;13;1;0;0;0;0;14;0;0;0;0;14;0;0;0;0;13;1;0;6;7;0;1;;
26074;8;REGIÓN DEL BIOBÍO;82;ARAUCO;8203;CAÑETE;8;2;27500175.5507813;34265.1152847535;31;PAICAVÍ;103;PAICAVÍ GRANDE;8;Parcela-Hijuela;58;31;27;Indeterminado;11;39;Indeterminado;Indeterminado;27;19;0;17;19;17;19;0;0;0;0;0;0;0;0;14;3;0;0;0;0;17;0;0;0;0;15;0;2;0;0;13;4;0;3;14;0;0;;
26075;8;REGIÓN DEL BIOBÍO;82;ARAUCO;8203;CAÑETE;8;2;5377907.6328125;10584.7055210223;36;PONOTRO;134;SAN GUILLERMO;7;Fundo-Estancia-Hacienda;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
26076;8;REGIÓN DEL BIOBÍO;82;ARAUCO;8203;CAÑETE;8;2;7783160.30859375;21978.7355905512;36;PONOTRO;131;PONOTRO;8;Parcela-Hijuela;167;91;76;6;23;112;26;0;53;58;0;56;58;58;57;0;0;0;1;0;0;0;0;41;15;0;0;1;0;55;0;0;0;0;56;0;0;0;0;41;15;0;0;50;5;1;;
26077;8;REGIÓN DEL BIOBÍO;82;ARAUCO;8203;CAÑETE;9;2;25908304.8789063;42523.4327510686;27;LLENQUEHUE;85;LLENQUEHUE;8;Parcela-Hijuela;324;172;152;19;46;211;48;Indeterminado;78;115;0;103;115;104;112;0;0;1;2;0;0;1;1;81;16;0;4;5;0;97;1;0;0;0;97;0;4;0;1;83;15;4;74;25;0;3;;
26078;8;REGIÓN DEL BIOBÍO;82;ARAUCO;8203;CAÑETE;12;2;45640550.5507813;38833.3051722031;10;COIHUECO;24;COIHUECO;8;Parcela-Hijuela;26;15;11;Indeterminado;Indeterminado;16;5;0;17;13;0;7;13;7;13;0;0;0;0;0;0;0;0;5;2;0;0;0;0;7;0;0;0;0;7;0;0;0;0;5;2;0;0;1;0;6;;
26079;8;REGIÓN DEL BIOBÍO;82;ARAUCO;8203;CAÑETE;12;2;36758449.265625;41599.3872333318;25;LAUTARO ANTIQUINA;77;LAUTARO ANTIQUINA;8;Parcela-Hijuela;181;84;97;17;30;117;17;0;112;68;0;55;68;56;66;0;0;1;1;0;0;1;0;50;4;0;0;0;0;55;0;0;0;0;51;0;4;0;0;47;8;0;27;23;1;4;;
26080;8;REGIÓN DEL BIOBÍO;82;ARAUCO;8203;CAÑETE;8;2;1786247.38671875;7701.84205011261;26;LENCÁN-BOLDO;79;CURACO;8;Parcela-Hijuela;23;12;11;0;Indeterminado;17;Indeterminado;0;11;10;0;9;10;9;10;0;0;0;0;0;0;0;0;6;3;0;0;0;0;9;0;0;0;0;8;0;0;0;0;6;2;0;0;8;1;0;;
26081;8;REGIÓN DEL BIOBÍO;82;ARAUCO;8203;CAÑETE;8;2;16370169.40625;28676.4494553738;29;LLONCAO;95;LLONCAO;8;Parcela-Hijuela;459;238;221;39;62;294;64;0;108;161;0;143;161;144;161;0;0;0;0;0;0;0;1;111;25;0;5;9;0;133;0;0;0;0;139;0;2;1;0;110;27;5;91;46;1;3;;
26082;8;REGIÓN DEL BIOBÍO;82;ARAUCO;8203;CAÑETE;6;2;601861.875;5758.53073720846;9;CAYUCUPIL;22;SANTA ELENA;3;Aldea;474;233;241;38;44;299;93;Indeterminado;69;186;0;170;186;173;184;1;0;0;1;0;0;1;1;154;13;0;1;6;0;163;0;0;1;0;164;0;6;0;0;150;18;2;168;2;0;0;;
