FID;CODIGO REGION;REGION;CODIGO PROVINCIA;PROVINCIA;CODIGO COMUNA;NOMBRE COMUNA;DISTRITO;AREA;Shape__Area;Shape__Length;CODIGO LOCALIDAD;LOCALIDAD;CODIGO ENTIDAD;ENTIDAD;CODIGO CATEGORIA;CATEGORIA;Número total de personas;Total de Hombres;Total de Mujeres;Total de personas de 0 a 5 años;Total de personas de 6 a 14 años;Total de personas de 15 a 64 años;Total de personas de 65 y más años;Total personas migrantes que residen habitualmente en el territorio nacional;Total personas que se consideran pertenecientes a algún pueblo indígena u originario;Total de viviendas particulares;Total viviendas colectivas;Total viviendas ocupadas con moradores presentes;Total viviendas;Cantidad de hogares;Cantidad de viviendas tipo casa;Cantidad de viviendas tipo departamento en edificio;Cantidad de viviendas tipo vivienda tradicional indígena (ruka, pae pae u otras);Cantidad de viviendas tipo pieza en casa antigua o en conventillo;Cantidad de viviendas tipo mediagua, mejora, rancho o choza;Cantidad de viviendas tipo móvil (carpa, casa rodante o similar);Cantidad de viviendas tipo otro tipo de vivienda particular;Cantidad de viviendas con materialidad en paredes de Hormigón armado;Cantidad de viviendas con materialidad en paredes de albañilería: bloque de cemento, piedra o ladrillo;Cantidad de viviendas con materialidad en paredes de tabique forrado por ambas caras (madera o acero);Cantidad de viviendas con materialidad en paredes de tabique sin forro interior (madera u otro);Cantidad de viviendas con materialidad en paredes de adobe, barro, quincha, pirca u otro artesanal tradicional;Cantidad de viviendas con materialidad en paredes de materiales precarios (lata, cartón, plástico, etc.);Cantidad de viviendas con materialidad de techo tejas o tejuelas de arcilla, metálicas, de cemento, de madera, asfálticas o plásticas;Cantidad de viviendas con materialidad de techo losa hormigón;Cantidad de viviendas con materialidad de techo planchas metálicas de zinc, cobre, etc. O fibrocemento (tipo pizarreño);Cantidad de viviendas con materialidad de techo fonolita o plancha de fieltro embreado;Cantidad de viviendas con materialidad de techo paja, coirón, totora o caña;Cantidad de viviendas con materialidad de techo materiales precarios (lata, cartón, plástico, etc.);Cantidad de viviendas con materialidad de techo sin cubierta sólida de techo;Cantidad de viviendas con materialidad de piso parquet, piso flotante, cerámico, madera, alfombra, flexit, cubrepiso u otro similar, sobre radier o vigas de madera;Viviendas con materialidad de piso radier sin revestimiento;Viviendas con materialidad de piso baldosa de cemento;Viviendas con materialidad de piso capa de cemento sobre tierra;Viviendas con materialidad de piso tierra;Total viviendas con materialidad aceptable;Total viviendas con materialidad recuperable;Total viviendas con materialidad irrecuperable;Cantidad de viviendas con origen del agua por red pública;Cantidad de viviendas con origen del agua por pozo o noria;Cantidad de viviendas con origen del agua por camión aljibe;Cantidad de viviendas con origen del agua por río, vertiente, estero, canal, lago, etc.;x;y
25236;8;REGIÓN DEL BIOBÍO;81;CONCEPCIÓN;8101;CONCEPCIÓN;25;2;4167007.2734375;8427.72143132736;25;VALLE NONGUÉN;97;SAN FRANCISCO;7;Fundo-Estancia-Hacienda;28;18;10;Indeterminado;7;15;Indeterminado;0;0;12;0;9;12;9;11;0;0;0;1;0;0;1;0;7;1;0;0;2;0;7;0;0;0;0;7;1;0;0;1;6;2;1;6;2;0;1;;
25237;8;REGIÓN DEL BIOBÍO;81;CONCEPCIÓN;8101;CONCEPCIÓN;25;2;4683526.34765625;12798.9217038186;15;PALOMARES;62;CANTERAS GIACAMAN;8;Parcela-Hijuela;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
25238;8;REGIÓN DEL BIOBÍO;81;CONCEPCIÓN;8101;CONCEPCIÓN;28;2;6792385.84765625;11743.299968943;2;AGUA LARGA;14;AGUA LARGA;7;Fundo-Estancia-Hacienda;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
25239;8;REGIÓN DEL BIOBÍO;81;CONCEPCIÓN;8101;CONCEPCIÓN;28;2;5817948.75;13233.3099302078;2;AGUA LARGA;15;SANTA INÉS;8;Parcela-Hijuela;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
25240;8;REGIÓN DEL BIOBÍO;81;CONCEPCIÓN;8101;CONCEPCIÓN;29;2;587288.34375;4566.6977238487;22;PUENTE SEIS;82;PUENTE SEIS;4;Caserío;23;11;12;4;Indeterminado;15;Indeterminado;0;0;11;0;7;11;7;10;0;0;0;1;0;0;0;0;3;4;0;0;0;0;7;0;0;0;0;7;0;0;0;0;3;4;0;0;1;5;1;;
25241;8;REGIÓN DEL BIOBÍO;81;CONCEPCIÓN;8101;CONCEPCIÓN;29;2;935702.66015625;5536.72873567502;23;PUENTE TRES;83;PUENTE TRES;4;Caserío;33;17;16;Indeterminado;0;24;Indeterminado;0;Indeterminado;20;0;13;20;13;19;0;0;0;1;0;0;0;1;11;1;0;0;0;0;13;0;0;0;0;12;0;1;0;0;11;2;0;0;2;11;0;;
25242;8;REGIÓN DEL BIOBÍO;81;CONCEPCIÓN;8101;CONCEPCIÓN;29;2;6185173.65625;13270.2396628332;20;PUAPÚA;79;PUAPÚA;8;Parcela-Hijuela;61;31;30;7;5;43;6;Indeterminado;Indeterminado;32;0;22;32;22;31;0;0;0;1;0;0;2;6;12;2;0;0;3;1;18;0;0;0;0;18;1;1;1;0;17;4;0;0;17;2;2;;
25643;8;REGIÓN DEL BIOBÍO;81;CONCEPCIÓN;8101;CONCEPCIÓN;30;2;633284.2578125;4201.48676284385;1;AGUA DE LA GLORIA;1;AGUA DE LA GLORIA;4;Caserío;105;60;45;10;Indeterminado;76;Indeterminado;0;9;49;0;38;49;38;49;0;0;0;0;0;0;1;3;29;5;0;0;3;0;35;0;0;0;0;36;2;0;0;0;31;7;0;0;10;19;9;;
25644;8;REGIÓN DEL BIOBÍO;81;CONCEPCIÓN;8101;CONCEPCIÓN;30;2;94741.7890625;1355.5160348781;1;AGUA DE LA GLORIA;13;VILLA ROMA;8;Parcela-Hijuela;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
25645;8;REGIÓN DEL BIOBÍO;81;CONCEPCIÓN;8101;CONCEPCIÓN;30;2;944367.15234375;5658.17979329017;1;AGUA DE LA GLORIA;3;AGUA DE LA GLORIA;9;Parcela de Agrado;34;21;13;Indeterminado;7;21;Indeterminado;0;Indeterminado;29;0;13;29;13;29;0;0;0;0;0;0;3;4;5;1;0;0;4;0;9;0;0;0;0;13;0;0;0;0;12;1;0;0;11;0;2;;
