FID;CODIGO REGION;REGION;CODIGO PROVINCIA;PROVINCIA;CODIGO COMUNA;NOMBRE COMUNA;DISTRITO;AREA;Shape__Area;Shape__Length;CODIGO LOCALIDAD;LOCALIDAD;CODIGO ENTIDAD;ENTIDAD;CODIGO CATEGORIA;CATEGORIA;Número total de personas;Total de Hombres;Total de Mujeres;Total de personas de 0 a 5 años;Total de personas de 6 a 14 años;Total de personas de 15 a 64 años;Total de personas de 65 y más años;Total personas migrantes que residen habitualmente en el territorio nacional;Total personas que se consideran pertenecientes a algún pueblo indígena u originario;Total de viviendas particulares;Total viviendas colectivas;Total viviendas ocupadas con moradores presentes;Total viviendas;Cantidad de hogares;Cantidad de viviendas tipo casa;Cantidad de viviendas tipo departamento en edificio;Cantidad de viviendas tipo vivienda tradicional indígena (ruka, pae pae u otras);Cantidad de viviendas tipo pieza en casa antigua o en conventillo;Cantidad de viviendas tipo mediagua, mejora, rancho o choza;Cantidad de viviendas tipo móvil (carpa, casa rodante o similar);Cantidad de viviendas tipo otro tipo de vivienda particular;Cantidad de viviendas con materialidad en paredes de Hormigón armado;Cantidad de viviendas con materialidad en paredes de albañilería: bloque de cemento, piedra o ladrillo;Cantidad de viviendas con materialidad en paredes de tabique forrado por ambas caras (madera o acero);Cantidad de viviendas con materialidad en paredes de tabique sin forro interior (madera u otro);Cantidad de viviendas con materialidad en paredes de adobe, barro, quincha, pirca u otro artesanal tradicional;Cantidad de viviendas con materialidad en paredes de materiales precarios (lata, cartón, plástico, etc.);Cantidad de viviendas con materialidad de techo tejas o tejuelas de arcilla, metálicas, de cemento, de madera, asfálticas o plásticas;Cantidad de viviendas con materialidad de techo losa hormigón;Cantidad de viviendas con materialidad de techo planchas metálicas de zinc, cobre, etc. O fibrocemento (tipo pizarreño);Cantidad de viviendas con materialidad de techo fonolita o plancha de fieltro embreado;Cantidad de viviendas con materialidad de techo paja, coirón, totora o caña;Cantidad de viviendas con materialidad de techo materiales precarios (lata, cartón, plástico, etc.);Cantidad de viviendas con materialidad de techo sin cubierta sólida de techo;Cantidad de viviendas con materialidad de piso parquet, piso flotante, cerámico, madera, alfombra, flexit, cubrepiso u otro similar, sobre radier o vigas de madera;Viviendas con materialidad de piso radier sin revestimiento;Viviendas con materialidad de piso baldosa de cemento;Viviendas con materialidad de piso capa de cemento sobre tierra;Viviendas con materialidad de piso tierra;Total viviendas con materialidad aceptable;Total viviendas con materialidad recuperable;Total viviendas con materialidad irrecuperable;Cantidad de viviendas con origen del agua por red pública;Cantidad de viviendas con origen del agua por pozo o noria;Cantidad de viviendas con origen del agua por camión aljibe;Cantidad de viviendas con origen del agua por río, vertiente, estero, canal, lago, etc.;x;y
26505;8;REGIÓN DEL BIOBÍO;83;BIOBÍO;8301;LOS ÁNGELES;18;2;2823849.66015625;8078.15996929476;14;DUQUECO SUR;125;ALTO LAS VIÑAS;8;Parcela-Hijuela;122;61;61;9;14;77;22;0;Indeterminado;46;0;41;46;42;46;0;0;0;0;0;0;1;10;25;5;0;0;6;0;35;0;0;0;0;34;2;2;2;0;30;10;0;0;37;4;0;;
26506;8;REGIÓN DEL BIOBÍO;83;BIOBÍO;8301;LOS ÁNGELES;18;2;11116153.015625;15203.9502323775;14;DUQUECO SUR;133;MESAMÁVIDA UNO;8;Parcela-Hijuela;165;83;82;14;21;111;19;0;16;59;0;53;59;53;53;0;0;0;6;0;0;5;8;32;8;0;0;4;0;49;0;0;0;0;47;2;2;2;0;41;12;0;1;41;11;0;;
26507;8;REGIÓN DEL BIOBÍO;83;BIOBÍO;8301;LOS ÁNGELES;18;2;4423784.0625;9559.05524096583;14;DUQUECO SUR;134;RINCONADA DUQUECO CUEL;8;Parcela-Hijuela;52;29;23;4;7;27;14;0;13;31;0;19;31;20;30;0;0;0;0;0;1;1;6;11;1;0;0;2;0;17;0;0;0;0;17;0;1;1;0;16;3;0;0;19;0;0;;
26508;8;REGIÓN DEL BIOBÍO;83;BIOBÍO;8301;LOS ÁNGELES;18;2;10967376.515625;21597.7319962761;14;DUQUECO SUR;136;RINCONADA LA SUERTE;8;Parcela-Hijuela;209;114;95;18;20;139;32;0;17;88;0;67;88;67;78;0;0;1;4;0;5;2;17;36;11;0;1;5;0;62;0;0;0;0;55;3;1;7;1;48;17;2;1;58;7;1;;
26509;8;REGIÓN DEL BIOBÍO;83;BIOBÍO;8301;LOS ÁNGELES;18;2;1265446.48046875;4811.37638877006;14;DUQUECO SUR;137;SAN ANDRÉS;7;Fundo-Estancia-Hacienda;23;11;12;Indeterminado;Indeterminado;13;5;0;Indeterminado;11;0;7;11;7;11;0;0;0;0;0;0;1;1;5;0;0;0;2;0;5;0;0;0;0;7;0;0;0;0;7;0;0;0;7;0;0;;
26510;8;REGIÓN DEL BIOBÍO;83;BIOBÍO;8301;LOS ÁNGELES;18;2;3830029.765625;9688.94260731501;14;DUQUECO SUR;126;BELLAVISTA;8;Parcela-Hijuela;132;73;59;9;17;90;16;Indeterminado;4;58;0;44;58;44;57;0;0;0;1;0;0;4;8;30;2;0;0;1;0;43;0;0;0;0;36;2;5;1;0;35;9;0;0;31;11;2;;
26511;8;REGIÓN DEL BIOBÍO;83;BIOBÍO;8301;LOS ÁNGELES;18;2;2239066.25;6656.22804121959;14;DUQUECO SUR;128;CUEL;8;Parcela-Hijuela;34;17;17;Indeterminado;Indeterminado;18;11;0;0;15;0;14;15;14;15;0;0;0;0;0;0;0;5;9;0;0;0;0;0;14;0;0;0;0;14;0;0;0;0;14;0;0;1;13;0;0;;
26512;8;REGIÓN DEL BIOBÍO;83;BIOBÍO;8301;LOS ÁNGELES;18;2;12888408.28125;21744.8556546812;14;DUQUECO SUR;131;MESAMÁVIDA DOS;8;Parcela-Hijuela;192;106;86;19;22;118;33;Indeterminado;8;79;0;64;79;64;76;0;0;0;2;0;1;0;13;38;8;1;4;4;0;57;1;0;2;0;50;2;6;6;0;36;23;5;1;53;8;1;;
26513;8;REGIÓN DEL BIOBÍO;83;BIOBÍO;8301;LOS ÁNGELES;18;2;18202604.140625;26865.0014932816;20;EL MORRO;158;EL CIRUELO;8;Parcela-Hijuela;388;201;187;34;36;259;59;0;16;151;0;129;151;129;141;0;0;0;9;0;1;5;34;63;25;0;2;10;0;118;1;0;0;0;114;10;1;2;1;92;33;3;1;110;14;4;;
26514;8;REGIÓN DEL BIOBÍO;83;BIOBÍO;8301;LOS ÁNGELES;18;2;3403654.22265625;7793.614017554;15;EL ARRAYÁN;139;COUNTRY SANTA ELIANA SUR;9;Parcela de Agrado;316;149;167;31;42;218;25;4;20;123;0;89;123;90;123;0;0;0;0;0;0;23;38;24;3;0;0;49;0;37;1;0;0;0;88;0;1;0;0;82;5;0;0;89;0;0;;
26515;8;REGIÓN DEL BIOBÍO;83;BIOBÍO;8301;LOS ÁNGELES;18;2;3616980.50390625;13021.4981507771;14;DUQUECO SUR;127;BUENOS AIRES;7;Fundo-Estancia-Hacienda;39;18;21;6;Indeterminado;30;Indeterminado;0;0;12;0;11;12;11;12;0;0;0;0;0;0;1;5;2;3;0;0;4;0;6;0;0;0;0;10;0;0;1;0;7;3;0;0;7;0;1;;
26516;8;REGIÓN DEL BIOBÍO;83;BIOBÍO;8301;LOS ÁNGELES;18;2;17325898.9804688;19533.4975219831;7;CHACAICO;51;EL CHEQUÉN;8;Parcela-Hijuela;261;130;131;20;24;179;38;Indeterminado;16;97;0;85;97;86;93;0;0;0;4;0;0;1;17;54;10;0;3;13;0;71;0;0;0;0;71;5;6;2;1;62;19;3;22;57;5;0;;
26517;8;REGIÓN DEL BIOBÍO;83;BIOBÍO;8301;LOS ÁNGELES;19;2;4734971.36328125;9721.51095802527;42;MILLANTÚ;252;RINCONADA HUAQUI NORTE;8;Parcela-Hijuela;63;35;28;7;5;43;8;Indeterminado;5;41;0;24;41;25;38;0;0;0;3;0;0;0;2;18;2;0;2;1;0;23;0;0;0;0;20;0;3;0;1;17;5;2;0;10;14;0;;
26518;8;REGIÓN DEL BIOBÍO;83;BIOBÍO;8301;LOS ÁNGELES;19;2;38389128.1132813;48450.9759529614;42;MILLANTÚ;253;RINCONADA HUAQUI SUR;8;Parcela-Hijuela;249;123;126;13;23;140;73;0;6;114;0;87;114;87;107;0;0;0;7;0;0;2;24;38;16;0;7;5;0;80;0;0;2;0;73;7;0;3;3;55;22;9;11;25;49;2;;
26519;8;REGIÓN DEL BIOBÍO;83;BIOBÍO;8301;LOS ÁNGELES;19;2;34306204.1992188;40080.8693851796;61;SANTA FÉ;376;SANTA FÉ;8;Parcela-Hijuela;197;98;99;10;16;125;46;Indeterminado;9;77;0;66;77;68;76;0;0;0;1;0;0;2;18;39;7;0;0;17;0;49;0;0;0;0;59;3;1;2;0;53;12;0;7;56;2;1;;
